hotel,is_canceled,lead_time,arrival_date_week_number,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,deposit_type,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,arrival_date,year_res_status_date,month_res_status_date,day_res_status_date,reservation_status_day
City Hotel,1,257,27,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,1,0,A,No Deposit,Transient,101.5,0,0,processed,2015-07-01,2015,6,16,2015-08-01
Resort Hotel,0,57,29,2,6,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,135.0,0,1,processed,2015-07-18,2015,7,26,2015-08-01
Resort Hotel,0,38,29,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,135.0,0,0,processed,2015-07-17,2015,7,20,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-16,2014,10,17,2015-08-01
City Hotel,1,192,29,2,1,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,76.5,0,0,processed,2015-07-12,2015,7,3,2015-08-01
City Hotel,0,136,28,2,2,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,80.44,0,0,processed,2015-07-10,2015,7,14,2015-08-01
Resort Hotel,0,16,31,0,3,3,0.0,0,BB,Direct,Direct,0,0,0,E,No Deposit,Transient,194.0,0,0,processed,2015-07-30,2015,8,2,2015-08-01
City Hotel,1,286,31,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Contract,62.0,0,0,processed,2015-07-30,2015,1,1,2015-08-01
Resort Hotel,0,160,30,2,5,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,110.5,0,1,processed,2015-07-21,2015,7,28,2015-08-01
City Hotel,0,25,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-27,2015,7,29,2015-08-01
Resort Hotel,0,63,29,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,75.44,0,1,processed,2015-07-16,2015,7,20,2015-08-01
City Hotel,0,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,109.0,0,0,processed,2015-07-17,2015,7,19,2015-08-01
City Hotel,1,278,30,0,2,3,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,84.0,0,0,processed,2015-07-22,2015,7,2,2015-08-01
City Hotel,1,278,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-22,2015,1,1,2015-08-01
Resort Hotel,0,62,29,1,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,64.0,0,2,processed,2015-07-13,2015,7,15,2015-08-01
Resort Hotel,0,186,28,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,154.0,0,1,processed,2015-07-07,2015,7,11,2015-08-01
Resort Hotel,0,101,27,2,5,2,1.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,99.3,1,2,processed,2015-07-03,2015,7,10,2015-08-01
City Hotel,1,148,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,85.5,0,1,processed,2015-07-29,2015,3,9,2015-08-01
Resort Hotel,0,0,30,0,2,2,1.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,134.0,0,0,processed,2015-07-23,2015,7,25,2015-08-01
City Hotel,0,260,27,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-04,2015,7,8,2015-08-01
Resort Hotel,0,37,29,2,4,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,106.9,0,0,processed,2015-07-15,2015,7,21,2015-08-01
City Hotel,0,20,30,0,2,1,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,0.0,0,0,processed,2015-07-22,2015,7,24,2015-08-01
Resort Hotel,0,38,31,0,3,2,1.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,129.48,0,1,processed,2015-07-30,2015,8,2,2015-08-01
Resort Hotel,0,98,30,1,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,118.17,0,0,processed,2015-07-20,2015,7,26,2015-08-01
City Hotel,1,274,29,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-18,2015,7,6,2015-08-01
City Hotel,1,281,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,6,2015-08-01
City Hotel,0,132,30,0,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,90.0,0,0,processed,2015-07-23,2015,7,24,2015-08-01
City Hotel,0,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,109.0,0,0,processed,2015-07-17,2015,7,19,2015-08-01
City Hotel,1,110,30,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-25,2015,7,22,2015-08-01
Resort Hotel,0,3,27,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,90.9,1,0,processed,2015-07-03,2015,7,6,2015-08-01
Resort Hotel,0,133,29,3,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,112.63,0,0,processed,2015-07-13,2015,7,21,2015-08-01
Resort Hotel,0,104,28,1,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,117.63,0,0,processed,2015-07-06,2015,7,12,2015-08-01
City Hotel,0,92,28,2,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,58.9,0,1,processed,2015-07-09,2015,7,14,2015-08-01
Resort Hotel,1,209,31,2,5,2,2.0,0,BB,Online TA,TA/TO,0,1,0,H,No Deposit,Transient,199.0,0,2,processed,2015-08-01,2015,2,9,2015-08-01
City Hotel,1,274,29,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-18,2015,7,6,2015-08-01
City Hotel,0,20,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-22,2015,7,24,2015-08-01
City Hotel,1,286,31,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Contract,62.0,0,0,processed,2015-07-30,2015,1,1,2015-08-01
Resort Hotel,1,72,27,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,73.8,0,1,processed,2015-07-03,2015,6,29,2015-08-01
Resort Hotel,1,81,30,0,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,115.0,0,2,processed,2015-07-21,2015,6,1,2015-08-01
City Hotel,1,164,30,1,2,2,0.0,0,BB,Offline TA/TO,TA/TO,0,1,0,B,No Deposit,Transient-Party,63.75,0,2,processed,2015-07-20,2015,7,14,2015-08-01
Resort Hotel,1,191,28,2,5,2,0.0,0,HB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,126.86,0,1,processed,2015-07-11,2015,3,17,2015-08-01
Resort Hotel,0,67,31,4,6,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,191.7,0,1,processed,2015-08-01,2015,8,11,2015-08-01
City Hotel,1,20,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-22,2015,7,17,2015-08-01
Resort Hotel,0,189,28,2,5,2,0.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,96.3,0,0,processed,2015-07-09,2015,7,16,2015-08-01
City Hotel,0,19,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,29,2015-08-01
City Hotel,0,80,31,2,7,2,1.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,75.79,0,1,processed,2015-07-31,2015,8,9,2015-08-01
City Hotel,0,25,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-27,2015,7,29,2015-08-01
Resort Hotel,0,59,29,2,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,107.0,0,0,processed,2015-07-12,2015,7,19,2015-08-01
City Hotel,1,278,30,0,2,1,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,60.0,0,0,processed,2015-07-22,2015,7,2,2015-08-01
Resort Hotel,0,13,31,0,1,2,1.0,0,BB,Direct,Direct,0,0,0,A,No Deposit,Transient,168.0,0,2,processed,2015-07-29,2015,7,30,2015-08-01
Resort Hotel,0,94,28,4,6,3,0.0,0,BB,Direct,Direct,0,0,0,D,No Deposit,Transient,124.45,1,1,processed,2015-07-05,2015,7,15,2015-08-01
City Hotel,0,20,30,0,2,1,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,60.0,0,0,processed,2015-07-22,2015,7,24,2015-08-01
Resort Hotel,0,1,27,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,H,No Deposit,Transient,147.0,1,0,processed,2015-07-02,2015,7,3,2015-08-01
Resort Hotel,0,0,29,0,1,1,0.0,0,BB,Corporate,Corporate,0,0,0,A,No Deposit,Transient,134.0,0,0,processed,2015-07-14,2015,7,15,2015-08-01
City Hotel,1,281,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,6,2015-08-01
Resort Hotel,0,57,29,0,2,1,0.0,0,FB,Groups,Direct,0,0,0,A,No Deposit,Transient-Party,0.0,0,0,processed,2015-07-15,2015,7,17,2015-08-01
City Hotel,1,63,28,2,5,2,0.0,0,BB,Direct,Direct,0,0,0,B,No Deposit,Transient-Party,45.0,0,1,processed,2015-07-07,2015,7,7,2015-08-01
Resort Hotel,1,65,31,1,3,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,120.6,0,0,processed,2015-07-30,2015,6,11,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-16,2014,10,17,2015-08-01
Resort Hotel,0,22,28,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,88.2,0,0,processed,2015-07-10,2015,7,12,2015-08-01
Resort Hotel,1,19,30,1,3,2,2.0,0,BB,Online TA,TA/TO,0,0,0,H,No Deposit,Transient,210.0,0,0,processed,2015-07-23,2015,7,6,2015-08-01
City Hotel,1,278,30,0,2,1,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,60.0,0,0,processed,2015-07-22,2015,7,2,2015-08-01
City Hotel,0,257,27,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,101.5,0,0,processed,2015-07-01,2015,7,3,2015-08-01
Resort Hotel,0,50,30,2,6,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,135.0,0,0,processed,2015-07-22,2015,7,30,2015-08-01
City Hotel,1,25,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-27,2015,7,22,2015-08-01
City Hotel,1,79,29,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,85.5,0,1,processed,2015-07-15,2015,6,30,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-23,2014,10,17,2015-08-01
City Hotel,0,19,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,29,2015-08-01
Resort Hotel,1,63,30,0,4,2,2.0,0,BB,Online TA,TA/TO,0,0,0,G,No Deposit,Transient,195.0,0,0,processed,2015-07-21,2015,6,19,2015-08-01
Resort Hotel,0,0,29,0,1,2,0.0,0,BB,Online TA,TA/TO,1,0,0,A,No Deposit,Group,112.5,0,0,processed,2015-07-17,2015,7,18,2015-08-01
Resort Hotel,0,30,30,2,5,3,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,195.45,1,3,processed,2015-07-24,2015,7,31,2015-08-01
Resort Hotel,1,91,31,2,5,2,1.0,0,HB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,144.53,0,3,processed,2015-08-01,2015,6,6,2015-08-01
Resort Hotel,0,67,30,1,5,2,0.0,1,BB,Direct,Direct,0,0,0,D,No Deposit,Transient,135.0,0,2,processed,2015-07-20,2015,7,26,2015-08-01
Resort Hotel,0,57,29,0,2,2,0.0,0,FB,Groups,Direct,0,0,0,A,No Deposit,Transient,107.0,0,0,processed,2015-07-15,2015,7,17,2015-08-01
Resort Hotel,0,46,30,2,5,2,0.0,0,HB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,114.63,0,1,processed,2015-07-21,2015,7,28,2015-08-01
Resort Hotel,0,79,31,2,5,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,112.36,1,1,processed,2015-07-29,2015,8,5,2015-08-01
City Hotel,0,271,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-15,2015,7,17,2015-08-01
Resort Hotel,0,1,29,0,1,2,0.0,0,BB,Direct,Direct,0,0,0,D,No Deposit,Transient,173.0,0,1,processed,2015-07-18,2015,7,19,2015-08-01
City Hotel,1,12,29,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-18,2015,7,18,2015-08-01
City Hotel,1,19,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,22,2015-08-01
City Hotel,0,126,31,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,85.5,1,1,processed,2015-07-27,2015,7,30,2015-08-01
Resort Hotel,1,32,29,1,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,154.0,0,0,processed,2015-07-17,2015,6,24,2015-08-01
City Hotel,1,73,28,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,68.0,0,0,processed,2015-07-07,2015,6,27,2015-08-01
City Hotel,0,138,30,0,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,60.0,0,0,processed,2015-07-25,2015,7,26,2015-08-01
Resort Hotel,0,79,29,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,E,No Deposit,Transient,145.0,0,2,processed,2015-07-17,2015,7,24,2015-08-01
Resort Hotel,0,0,31,0,2,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,192.5,0,1,processed,2015-07-31,2015,8,2,2015-08-01
City Hotel,1,151,30,2,1,2,0.0,0,HB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,86.0,0,0,processed,2015-07-25,2015,7,9,2015-08-01
City Hotel,1,69,30,2,5,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient-Party,76.5,0,1,processed,2015-07-22,2015,5,18,2015-08-01
Resort Hotel,0,128,28,0,3,1,0.0,0,HB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,129.0,1,1,processed,2015-07-08,2015,7,11,2015-08-01
Resort Hotel,0,53,29,2,3,2,1.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,133.75,1,0,processed,2015-07-17,2015,7,22,2015-08-01
Resort Hotel,0,133,29,3,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,142.63,0,1,processed,2015-07-13,2015,7,21,2015-08-01
City Hotel,0,273,29,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,109.0,0,0,processed,2015-07-17,2015,7,19,2015-08-01
Resort Hotel,0,4,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient-Party,192.0,0,2,processed,2015-07-31,2015,8,2,2015-08-01
City Hotel,0,103,29,2,1,3,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,138.5,0,0,processed,2015-07-18,2015,7,21,2015-08-01
City Hotel,1,279,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-23,2015,1,1,2015-08-01
City Hotel,1,19,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,22,2015-08-01
City Hotel,0,257,27,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,101.5,0,0,processed,2015-07-01,2015,7,3,2015-08-01
City Hotel,1,22,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-22,2015,7,2,2015-08-01
City Hotel,1,151,30,2,1,2,0.0,0,HB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,86.0,0,0,processed,2015-07-25,2015,7,9,2015-08-01
Resort Hotel,0,102,30,2,4,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,110.7,1,0,processed,2015-07-25,2015,7,31,2015-08-01
Resort Hotel,0,100,29,2,2,2,2.0,0,BB,Direct,Direct,0,0,0,G,No Deposit,Transient,130.05,1,1,processed,2015-07-12,2015,7,16,2015-08-01
Resort Hotel,0,78,28,0,3,2,0.0,1,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,82.0,0,2,processed,2015-07-09,2015,7,12,2015-08-01
City Hotel,0,132,30,0,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,90.0,0,0,processed,2015-07-23,2015,7,24,2015-08-01
Resort Hotel,0,12,27,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,88.2,0,0,processed,2015-07-01,2015,7,2,2015-08-01
Resort Hotel,0,111,28,4,10,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Contract,93.6,0,0,processed,2015-07-06,2015,7,20,2015-08-01
City Hotel,1,110,30,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-25,2015,7,22,2015-08-01
City Hotel,0,43,27,0,2,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,86.0,0,0,processed,2015-07-03,2015,7,5,2015-08-01
City Hotel,1,267,28,2,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-11,2015,1,1,2015-08-01
City Hotel,1,272,29,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-16,2015,1,1,2015-08-01
City Hotel,0,19,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,29,2015-08-01
Resort Hotel,0,211,31,4,6,3,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,160.98,0,1,processed,2015-08-01,2015,8,11,2015-08-01
City Hotel,1,276,30,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-20,2015,1,1,2015-08-01
City Hotel,0,25,31,1,1,1,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,60.0,0,0,processed,2015-07-27,2015,7,29,2015-08-01
Resort Hotel,1,39,31,3,5,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,133.0,0,1,processed,2015-07-26,2015,6,17,2015-08-01
Resort Hotel,1,134,30,2,4,2,1.0,0,BB,Offline TA/TO,TA/TO,0,1,0,E,No Deposit,Transient,149.06,0,0,processed,2015-07-22,2015,6,29,2015-08-01
Resort Hotel,0,77,31,1,4,2,1.0,1,BB,Online TA,TA/TO,0,0,0,C,No Deposit,Transient,121.35,0,3,processed,2015-07-29,2015,8,3,2015-08-01
City Hotel,0,257,27,0,2,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,101.5,0,0,processed,2015-07-01,2015,7,3,2015-08-01
City Hotel,1,281,30,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-25,2015,7,6,2015-08-01
City Hotel,1,274,29,2,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.0,0,0,processed,2015-07-18,2015,7,6,2015-08-01
Resort Hotel,0,64,29,2,3,1,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,84.8,0,1,processed,2015-07-17,2015,7,22,2015-08-01
Resort Hotel,0,47,30,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,133.0,0,0,processed,2015-07-25,2015,7,28,2015-08-01
City Hotel,1,283,31,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-27,2015,6,29,2015-08-01
Resort Hotel,0,8,30,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient-Party,173.0,0,2,processed,2015-07-24,2015,7,26,2015-08-01
City Hotel,1,278,30,0,2,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,Non Refund,Transient-Party,62.0,0,0,processed,2015-07-22,2015,6,29,2015-08-01
Resort Hotel,0,48,29,2,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,D,No Deposit,Transient,123.0,0,1,processed,2015-07-12,2015,7,19,2015-08-01
Resort Hotel,0,57,29,0,2,2,0.0,0,FB,Groups,Direct,0,0,0,A,No Deposit,Transient-Party,107.0,0,0,processed,2015-07-15,2015,7,17,2015-08-01
City Hotel,0,3,28,2,1,1,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,72.5,0,0,processed,2015-07-11,2015,7,14,2015-08-01
City Hotel,1,110,30,2,1,2,0.0,0,HB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient-Party,94.5,0,0,processed,2015-07-25,2015,7,22,2015-08-01
City Hotel,0,138,30,0,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,60.0,0,0,processed,2015-07-25,2015,7,26,2015-08-01
City Hotel,1,2,30,1,3,1,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,17.6,0,0,processed,2015-07-23,2015,7,21,2015-08-01
Resort Hotel,0,66,28,0,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,97.0,0,2,processed,2015-07-07,2015,7,11,2015-08-01
Resort Hotel,1,124,31,2,4,2,0.0,0,BB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,120.6,0,1,processed,2015-08-01,2015,6,6,2015-08-01
Resort Hotel,0,68,31,0,2,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,135.0,1,1,processed,2015-07-28,2015,7,30,2015-08-01
City Hotel,1,265,28,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-09,2014,10,17,2015-08-01
City Hotel,1,267,28,2,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-11,2015,1,1,2015-08-01
City Hotel,0,137,28,2,1,2,0.0,0,HB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,86.0,0,0,processed,2015-07-11,2015,7,14,2015-08-01
Resort Hotel,0,90,28,2,5,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,A,No Deposit,Transient,90.95,0,0,processed,2015-07-09,2015,7,16,2015-08-01
Resort Hotel,0,32,31,0,2,2,2.0,0,BB,Online TA,TA/TO,0,0,0,H,No Deposit,Transient,219.5,0,0,processed,2015-07-31,2015,8,2,2015-08-01
Resort Hotel,0,97,28,2,5,2,2.0,0,HB,Direct,Direct,0,0,0,C,No Deposit,Transient,164.2,1,1,processed,2015-07-05,2015,7,12,2015-08-01
Resort Hotel,0,60,30,2,6,2,0.0,0,HB,Online TA,TA/TO,0,0,0,A,No Deposit,Transient,90.12,0,1,processed,2015-07-25,2015,8,2,2015-08-01
Resort Hotel,1,122,27,1,3,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,110.7,0,1,processed,2015-07-02,2015,3,11,2015-08-01
Resort Hotel,0,3,30,0,1,2,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,154.0,0,2,processed,2015-07-23,2015,7,24,2015-08-01
Resort Hotel,0,190,28,4,10,2,0.0,0,BB,Offline TA/TO,TA/TO,0,0,0,E,No Deposit,Contract,112.63,0,0,processed,2015-07-10,2015,7,24,2015-08-01
City Hotel,0,138,30,0,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,60.0,0,0,processed,2015-07-25,2015,7,26,2015-08-01
Resort Hotel,0,58,31,2,3,1,0.0,0,BB,Online TA,TA/TO,0,0,0,D,No Deposit,Transient,157.8,0,0,processed,2015-07-31,2015,8,5,2015-08-01
City Hotel,0,138,30,0,1,2,0.0,0,BB,Groups,TA/TO,0,0,0,A,No Deposit,Transient-Party,60.0,0,0,processed,2015-07-25,2015,7,26,2015-08-01
City Hotel,1,159,30,1,1,2,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,76.5,0,1,processed,2015-07-25,2015,2,23,2015-08-01
City Hotel,1,286,31,0,2,2,0.0,0,BB,Groups,TA/TO,1,1,0,A,No Deposit,Transient-Party,62.8,0,0,processed,2015-07-30,2014,10,17,2015-08-01
City Hotel,1,142,31,0,1,1,0.0,0,BB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient-Party,68.0,0,0,processed,2015-07-30,2015,4,5,2015-08-01
Resort Hotel,1,179,31,2,6,2,0.0,0,HB,Online TA,TA/TO,0,1,0,A,No Deposit,Transient,164.0,0,1,processed,2015-07-29,2015,2,5,2015-08-01
City Hotel,1,262,28,1,1,2,0.0,0,BB,Groups,TA/TO,0,1,0,A,No Deposit,Contract,62.0,0,0,processed,2015-07-06,2015,1,1,2015-08-01
City Hotel,1,208,31,0,1,2,0.0,0,BB,Online TA,TA/TO,0,1,0,B,No Deposit,Transient-Party,76.5,0,0,processed,2015-07-28,2015,7,24,2015-08-01
